index,id,language
0,0,english
1,1,english
2,2,english
3,3,english
4,4,english
5,5,english
6,6,english
7,7,english
8,8,english
9,9,english
10,10,english
11,11,english
12,12,english
13,13,english
14,14,english
15,15,english
16,16,english
17,17,english
18,18,english
19,19,english
20,20,english
21,21,english
22,22,english
23,23,english
24,24,english
25,25,english
26,26,english
27,27,english
28,28,english
29,29,english
30,30,english
31,31,english
32,32,english
33,33,english
34,34,english
35,35,english
36,36,english
37,37,english
38,38,english
39,39,english
40,40,english
41,41,english
42,42,english
43,43,english
44,44,english
45,45,english
46,46,english
47,47,english
48,48,english
49,49,english
50,50,english
51,51,english
52,52,english
53,53,english
54,54,english
55,55,english
56,56,english
57,57,english
58,58,english
59,59,english
60,60,english
61,61,english
62,62,english
63,63,english
64,64,english
65,65,english
66,66,english
67,67,english
68,68,english
69,69,english
70,70,english
71,71,english
72,72,english
73,73,english
74,74,english
75,75,english
76,76,english
77,77,english
78,78,english
79,79,english
80,80,english
81,81,english
82,82,english
83,83,english
84,84,english
85,85,english
86,86,english
87,87,english
88,88,english
89,89,english
90,90,english
91,91,english
92,92,english
93,93,english
94,94,english
95,95,english
96,96,english
97,97,english
98,98,english
99,99,english
100,100,bangla
101,101,bangla
102,102,bangla
103,103,bangla
104,104,bangla
105,105,bangla
106,106,bangla
107,107,bangla
108,108,bangla
109,109,bangla
110,110,bangla
111,111,bangla
112,112,bangla
113,113,bangla
114,114,bangla
115,115,bangla
116,116,bangla
117,117,bangla
118,118,bangla
119,119,bangla
120,120,bangla
121,121,bangla
122,122,bangla
123,123,bangla
124,124,bangla
125,125,bangla
126,126,bangla
127,127,bangla
128,128,bangla
129,129,bangla
130,130,bangla
131,131,bangla
132,132,bangla
133,133,bangla
134,134,bangla
135,135,bangla
136,136,bangla
137,137,bangla
138,138,bangla
139,139,bangla
140,140,bangla
141,141,bangla
142,142,bangla
143,143,bangla
144,144,bangla
145,145,bangla
146,146,bangla
147,147,bangla
148,148,bangla
149,149,bangla
150,150,bangla
151,151,bangla
152,152,bangla
153,153,bangla
154,154,bangla
155,155,bangla
156,156,bangla
157,157,bangla
158,158,bangla
159,159,bangla
160,160,bangla
161,161,bangla
162,162,bangla
163,163,bangla
164,164,bangla
165,165,bangla
166,166,bangla
167,167,bangla
168,168,bangla
169,169,bangla
170,170,bangla
171,171,bangla
172,172,bangla
173,173,bangla
174,174,bangla
175,175,bangla
176,176,bangla
177,177,bangla
178,178,bangla
179,179,bangla
180,180,bangla
181,181,bangla
182,182,bangla
183,183,bangla
184,184,bangla
185,185,bangla
186,186,bangla
187,187,bangla
188,188,bangla
189,189,bangla
190,190,bangla
191,191,bangla
192,192,bangla
193,193,bangla
194,194,bangla
195,195,bangla
196,196,bangla
197,197,bangla
198,198,bangla
199,199,bangla
